3	2.34e-2	2.02e-3	3.09e-4	4.99e-5	8.05e-6
6	5.17e-3	2.65e-4	2.81e-5	3.15e-6	3.53e-7
12	6.76e-4	1.36e-5	1.00e-6	1.70e-7	2.47e-8
24	6.48e-5	6.94e-7	3.95e-8	1.92e-9	7.19e-11
48	6.20e-6	3.75e-8	4.95e-10	7.25e-12	1.99e-13
