0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00
4.340277777777777537e-04,9.000000000105933395e+01,1.177037726544464606e-11
8.680555555555555074e-04,9.000000000403169054e+01,4.479656152195982810e-11
1.302083333333333261e-03,9.000000000860838156e+01,9.564868403483867950e-11
1.736111111111111015e-03,9.000000001448042042e+01,1.608935602032741164e-10
2.170138888888888985e-03,9.000000002133852206e+01,2.370946895603588409e-10
2.604166666666666522e-03,9.000000002887325934e+01,3.208139926553283398e-10
3.038194444444444059e-03,9.000000003677510563e+01,4.086122847487179804e-10
3.472222222222222029e-03,9.000000004473443482e+01,4.970492758123630486e-10
3.906250000000000000e-03,9.000000005244176293e+01,5.826862548019562589e-10
3.906250000000000000e-03,9.000000005244176293e+01,5.826862548019562589e-10
4.340277777777777971e-03,9.000000005958757754e+01,6.620841948764185197e-10
4.774305555555555941e-03,9.000000006586259360e+01,7.318065955688427076e-10
5.208333333333333044e-03,9.000000007095773924e+01,7.884193248881072214e-10
5.642361111111111015e-03,9.000000007456421258e+01,8.284912509124195950e-10
6.076388888888888985e-03,9.000000007637356703e+01,8.485951891796301062e-10
6.510416666666666088e-03,9.000000007607775387e+01,8.453083763823896669e-10
6.944444444444444059e-03,9.000000007336919339e+01,8.152132598600777108e-10
7.378472222222222029e-03,9.000000006794087426e+01,7.548986028875030749e-10
7.812500000000000000e-03,9.000000005948628257e+01,6.609586951829745624e-10
7.812500000000000000e-03,9.000000005948628257e+01,6.609586951829745624e-10
8.246527777777777971e-03,9.000000004769961492e+01,5.299957213840873947e-10
8.680555555555555941e-03,9.000000003227575007e+01,3.586194452509516643e-10
9.114583333333333912e-03,9.000000001291026308e+01,1.434473675645777984e-10
9.548611111111111882e-03,8.999999998929962430e+01,1.188930632957231501e-10
9.982638888888888118e-03,8.999999996114108569e+01,4.317657145394251504e-10
1.041666666666666609e-02,8.999999992813285132e+01,7.985238741841587347e-10
1.085069444444444406e-02,8.999999988997404898e+01,1.222510566852482443e-09
1.128472222222222203e-02,8.999999984636485806e+01,1.707057132686410624e-09
1.171875000000000000e-02,8.999999979700646691e+01,2.255483701042572335e-09
1.171875000000000000e-02,8.999999979700646691e+01,2.255483701042572335e-09
1.215277777777777797e-02,8.999999974160120075e+01,2.871097769406737311e-09
1.258680555555555594e-02,8.999999967985255012e+01,3.557193887597046893e-09
1.302083333333333391e-02,8.999999961174698626e+01,4.313922374876710654e-09
1.345486111111111188e-02,8.999999953913504669e+01,5.120721703456689137e-09
1.388888888888888812e-02,8.999999946462379796e+01,5.948624467085513419e-09
1.432291666666666609e-02,8.999999939082250933e+01,6.768638785261929400e-09
1.475694444444444406e-02,8.999999932034052108e+01,7.551771987992752610e-09
1.519097222222222203e-02,8.999999925578714510e+01,8.269031721081571058e-09
1.562500000000000000e-02,8.999999919977177854e+01,8.891424682941659454e-09
1.562500000000000000e-02,8.999999919977177854e+01,8.891424682941659454e-09
1.605902777777777624e-02,8.999999915457814836e+01,9.393576129291938016e-09
1.649305555555555594e-02,8.999999912116160772e+01,9.764871025355306255e-09
1.692708333333333218e-02,8.999999910013897875e+01,9.998455791699395717e-09
1.736111111111111188e-02,8.999999909212714044e+01,1.008747621729829299e-08
1.779513888888888812e-02,8.999999909774302864e+01,1.002507745953254135e-08
1.822916666666666782e-02,8.999999911760372129e+01,9.804403096798826675e-09
1.866319444444444406e-02,8.999999915232628211e+01,9.418596865392222698e-09
