"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0049949,0.0313,0,1,0.321,-1.679,0,0
-0.0050442,0.031778,0,1,0.324,-1.676,0,0
-0.0050936,0.032255,0,1,0.327,-1.673,0,0
-0.0051434,0.032766,0,1,0.33,-1.67,0,0
-0.0051935,0.033297,0,1,0.333,-1.667,0,0
-0.0052435,0.033828,0,1,0.336,-1.664,0,0
-0.0052936,0.034359,0,1,0.339,-1.661,0,0
-0.0053436,0.03489,0,1,0.342,-1.658,0,0
-0.0053937,0.035421,0,1,0.345,-1.655,0,0
-0.0054437,0.035952,0,1,0.348,-1.652,0,0
-0.0054938,0.036483,0,1,0.351,-1.649,0,0
-0.0055438,0.037014,0,1,0.354,-1.646,0,0
-0.0055939,0.037545,0,1,0.357,-1.643,0,0
-0.0056439,0.038076,0,1,0.36,-1.64,0,0
-0.005694,0.038607,0,1,0.363,-1.637,0,0
-0.005744,0.039138,0,1,0.366,-1.634,0,0
-0.0057941,0.039669,0,1,0.369,-1.631,0,0
-0.0058441,0.0402,0,1,0.372,-1.628,0,0
-0.0058942,0.040731,0,1,0.375,-1.625,0,0
-0.0059446,0.041311,0,1,0.378,-1.622,0,0
-0.0059949,0.041892,0,1,0.381,-1.619,0,0
-0.0060453,0.042472,0,1,0.384,-1.616,0,0
-0.0060957,0.043052,0,1,0.387,-1.613,0,0
-0.006146,0.043633,0,1,0.39,-1.61,0,0
-0.0061964,0.044213,0,1,0.393,-1.607,0,0
-0.0062468,0.044794,0,1,0.396,-1.604,0,0
-0.0062971,0.045374,0,1,0.399,-1.601,0,0
-0.0063475,0.045955,0,1,0.402,-1.598,0,0
-0.0063979,0.046535,0,1,0.405,-1.595,0,0
-0.0064482,0.047115,0,1,0.408,-1.592,0,0
-0.0064986,0.047696,0,1,0.411,-1.589,0,0
-0.006549,0.048276,0,1,0.414,-1.586,0,0
-0.0065993,0.048857,0,1,0.417,-1.583,0,0
-0.0066497,0.049437,0,1,0.42,-1.58,0,0
-0.0067001,0.050034,0,1,0.423,-1.577,0,0
-0.0067504,0.05066,0,1,0.426,-1.574,0,0
-0.0068007,0.051285,0,1,0.429,-1.571,0,0
-0.0068511,0.05191,0,1,0.432,-1.568,0,0
-0.0069014,0.052535,0,1,0.435,-1.565,0,0
-0.0069517,0.053161,0,1,0.438,-1.562,0,0
-0.0070021,0.053786,0,1,0.441,-1.559,0,0
-0.0070524,0.054411,0,1,0.444,-1.556,0,0
-0.0071027,0.055037,0,1,0.447,-1.553,0,0
-0.0071531,0.055662,0,1,0.45,-1.55,0,0
-0.0072034,0.056287,0,1,0.453,-1.547,0,0
-0.0072537,0.056913,0,1,0.456,-1.544,0,0
-0.0073041,0.057538,0,1,0.459,-1.541,0,0
-0.0073544,0.058163,0,1,0.462,-1.538,0,0
-0.0074047,0.058789,0,1,0.465,-1.535,0,0
-0.0074551,0.059414,0,1,0.468,-1.532,0,0
-0.0075054,0.060073,0,1,0.471,-1.529,0,0
-0.0075557,0.060743,0,1,0.474,-1.526,0,0
-0.007606,0.061413,0,1,0.477,-1.523,0,0
-0.0076563,0.062083,0,1,0.48,-1.52,0,0
-0.0077066,0.062754,0,1,0.483,-1.517,0,0
-0.0077569,0.063424,0,1,0.486,-1.514,0,0
-0.0078072,0.064094,0,1,0.489,-1.511,0,0
-0.0078575,0.064764,0,1,0.492,-1.508,0,0
-0.0079078,0.065435,0,1,0.495,-1.505,0,0
-0.0079581,0.066105,0,1,0.498,-1.502,0,0
-0.0080084,0.066775,0,1,0.501,-1.499,0,0
-0.0080587,0.067445,0,1,0.504,-1.496,0,0
-0.008109,0.068115,0,1,0.507,-1.493,0,0
-0.0081593,0.068786,0,1,0.51,-1.49,0,0
-0.0082096,0.069456,0,1,0.513,-1.487,0,0
-0.0082599,0.070132,0,1,0.516,-1.484,0,0
-0.0083101,0.070847,0,1,0.519,-1.481,0,0
-0.0083604,0.071562,0,1,0.522,-1.478,0,0
-0.0084107,0.072277,0,1,0.525,-1.475,0,0
-0.0084609,0.072992,0,1,0.528,-1.472,0,0
-0.0085112,0.073707,0,1,0.531,-1.469,0,0
-0.0085615,0.074422,0,1,0.534,-1.466,0,0
-0.0086117,0.075137,0,1,0.537,-1.463,0,0
-0.008662,0.075852,0,1,0.54,-1.46,0,0
-0.0087123,0.076567,0,1,0.543,-1.457,0,0
-0.0087626,0.077283,0,1,0.546,-1.454,0,0
-0.0088128,0.077998,0,1,0.549,-1.451,0,0
-0.0088631,0.078713,0,1,0.552,-1.448,0,0
