"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.014477,2.0164e-16,0,1,0.309,-1.691,0,0
0.014627,2.0551e-16,0,1,0.312,-1.688,0,0
0.014778,2.0938e-16,0,1,0.315,-1.685,0,0
0.014929,2.1325e-16,0,1,0.318,-1.682,0,0
0.015079,2.1712e-16,0,1,0.321,-1.679,0,0
0.01523,2.21e-16,0,1,0.324,-1.676,0,0
0.01538,2.2487e-16,0,1,0.327,-1.673,0,0
0.015531,2.2874e-16,0,1,0.33,-1.67,0,0
0.015682,2.3275e-16,0,1,0.333,-1.667,0,0
0.015833,2.3699e-16,0,1,0.336,-1.664,0,0
0.015985,2.4124e-16,0,1,0.339,-1.661,0,0
0.016136,2.4548e-16,0,1,0.342,-1.658,0,0
0.016287,3.9868e-15,0,1,0.345,-1.655,0,0
0.016439,2.5397e-16,0,1,0.348,-1.652,0,0
0.01659,2.5821e-16,0,1,0.351,-1.649,0,0
0.016742,2.6246e-16,0,1,0.354,-1.646,0,0
0.016893,2.667e-16,0,1,0.357,-1.643,0,0
0.017045,2.7114e-16,0,1,0.36,-1.64,0,0
0.017197,2.7561e-16,0,1,0.363,-1.637,0,0
0.01735,2.8008e-16,0,1,0.366,-1.634,0,0
0.017502,2.8455e-16,0,1,0.369,-1.631,0,0
0.017654,2.8903e-16,0,1,0.372,-1.628,0,0
0.017806,2.935e-16,0,1,0.375,-1.625,0,0
0.017958,2.9797e-16,0,1,0.378,-1.622,0,0
0.01811,3.0244e-16,0,1,0.381,-1.619,0,0
0.018263,3.0695e-16,0,1,0.384,-1.616,0,0
0.018415,3.115e-16,0,1,0.387,-1.613,0,0
0.018568,3.1606e-16,0,1,0.39,-1.61,0,0
0.018721,3.2062e-16,0,1,0.393,-1.607,0,0
0.018873,-2.1414e-15,0,1,0.396,-1.604,0,0
0.019026,3.2974e-16,0,1,0.399,-1.601,0,0
0.019179,3.343e-16,0,1,0.402,-1.598,0,0
0.019332,3.3886e-16,0,1,0.405,-1.595,0,0
0.019484,3.4341e-16,0,1,0.408,-1.592,0,0
0.019637,3.4797e-16,0,1,0.411,-1.589,0,0
0.01979,3.5252e-16,0,1,0.414,-1.586,0,0
0.019944,3.5707e-16,0,1,0.417,-1.583,0,0
0.020097,3.6162e-16,0,1,0.42,-1.58,0,0
0.02025,3.6617e-16,0,1,0.423,-1.577,0,0
0.020403,3.7072e-16,0,1,0.426,-1.574,0,0
0.020556,3.7527e-16,0,1,0.429,-1.571,0,0
0.020709,3.7982e-16,0,1,0.432,-1.568,0,0
0.020862,3.8441e-16,0,1,0.435,-1.565,0,0
0.021016,3.8905e-16,0,1,0.438,-1.562,0,0
0.021169,3.937e-16,0,1,0.441,-1.559,0,0
0.021323,3.9834e-16,0,1,0.444,-1.556,0,0
0.021476,1.8291e-15,0,1,0.447,-1.553,0,0
0.02163,4.0763e-16,0,1,0.45,-1.55,0,0
0.021783,4.1228e-16,0,1,0.453,-1.547,0,0
0.021937,4.1693e-16,0,1,0.456,-1.544,0,0
0.02209,4.2157e-16,0,1,0.459,-1.541,0,0
0.022244,4.2642e-16,0,1,0.462,-1.538,0,0
0.022397,4.3131e-16,0,1,0.465,-1.535,0,0
0.022551,4.362e-16,0,1,0.468,-1.532,0,0
0.022704,4.411e-16,0,1,0.471,-1.529,0,0
0.022858,4.4599e-16,0,1,0.474,-1.526,0,0
0.023012,4.5088e-16,0,1,0.477,-1.523,0,0
0.023165,4.5577e-16,0,1,0.48,-1.52,0,0
0.023319,4.6067e-16,0,1,0.483,-1.517,0,0
0.023472,4.6568e-16,0,1,0.486,-1.514,0,0
0.023626,4.7097e-16,0,1,0.489,-1.511,0,0
0.02378,4.7626e-16,0,1,0.492,-1.508,0,0
0.023934,4.8155e-16,0,1,0.495,-1.505,0,0
0.024087,-1.8567e-16,0,1,0.498,-1.502,0,0
0.024241,4.9213e-16,0,1,0.501,-1.499,0,0
0.024395,4.9742e-16,0,1,0.504,-1.496,0,0
0.024548,5.0271e-16,0,1,0.507,-1.493,0,0
0.024702,5.08e-16,0,1,0.51,-1.49,0,0
0.024855,5.1369e-16,0,1,0.513,-1.487,0,0
0.025009,5.1948e-16,0,1,0.516,-1.484,0,0
0.025163,5.2526e-16,0,1,0.519,-1.481,0,0
0.025316,5.3105e-16,0,1,0.522,-1.478,0,0
0.02547,5.3684e-16,0,1,0.525,-1.475,0,0
0.025624,5.4262e-16,0,1,0.528,-1.472,0,0
0.025777,5.4841e-16,0,1,0.531,-1.469,0,0
0.025931,5.542e-16,0,1,0.534,-1.466,0,0
0.026084,5.6009e-16,0,1,0.537,-1.463,0,0
0.026238,5.6626e-16,0,1,0.54,-1.46,0,0
0.026391,5.7243e-16,0,1,0.543,-1.457,0,0
0.026545,5.7859e-16,0,1,0.546,-1.454,0,0
0.026698,3.725e-16,0,1,0.549,-1.451,0,0
0.026852,5.9093e-16,0,1,0.552,-1.448,0,0
0.027005,5.9709e-16,0,1,0.555,-1.445,0,0
0.027158,6.0326e-16,0,1,0.558,-1.442,0,0
0.027312,6.0943e-16,0,1,0.561,-1.439,0,0
0.027465,6.1576e-16,0,1,0.564,-1.436,0,0
0.027618,6.2214e-16,0,1,0.567,-1.433,0,0
0.027771,6.2851e-16,0,1,0.57,-1.43,0,0
0.027925,6.3489e-16,0,1,0.573,-1.427,0,0
0.028078,6.4127e-16,0,1,0.576,-1.424,0,0
0.028231,6.4765e-16,0,1,0.579,-1.421,0,0
0.028384,6.5403e-16,0,1,0.582,-1.418,0,0
0.028537,6.6041e-16,0,1,0.585,-1.415,0,0
0.02869,6.6679e-16,0,1,0.588,-1.412,0,0
0.028843,6.7321e-16,0,1,0.591,-1.409,0,0
0.028996,6.7963e-16,0,1,0.594,-1.406,0,0
0.029149,6.8605e-16,0,1,0.597,-1.403,0,0
0.029301,6.7652e-16,0,1,0.6,-1.4,0,0
0.029454,6.9889e-16,0,1,0.603,-1.397,0,0
0.029607,7.0531e-16,0,1,0.606,-1.394,0,0
0.02976,7.1173e-16,0,1,0.609,-1.391,0,0
0.029912,7.1815e-16,0,1,0.612,-1.388,0,0
0.030065,7.2452e-16,0,1,0.615,-1.385,0,0
0.030217,7.3086e-16,0,1,0.618,-1.382,0,0
0.030369,7.372e-16,0,1,0.621,-1.379,0,0
0.030522,7.4355e-16,0,1,0.624,-1.376,0,0
0.030674,7.4989e-16,0,1,0.627,-1.373,0,0
0.030826,7.5623e-16,0,1,0.63,-1.37,0,0
0.030978,7.6258e-16,0,1,0.633,-1.367,0,0
0.031131,7.6892e-16,0,1,0.636,-1.364,0,0
0.031283,7.7527e-16,0,1,0.639,-1.361,0,0
0.031434,7.8162e-16,0,1,0.642,-1.358,0,0
0.031586,7.8798e-16,0,1,0.645,-1.355,0,0
0.031738,7.9433e-16,0,1,0.648,-1.352,0,0
0.031889,8.3123e-16,0,1,0.651,-1.349,0,0
0.032041,8.0704e-16,0,1,0.654,-1.346,0,0
0.032193,8.134e-16,0,1,0.657,-1.343,0,0
0.032344,8.1975e-16,0,1,0.66,-1.34,0,0
0.032496,8.2611e-16,0,1,0.663,-1.337,0,0
0.032647,8.3257e-16,0,1,0.666,-1.334,0,0
0.032798,8.3907e-16,0,1,0.669,-1.331,0,0
0.032949,8.4558e-16,0,1,0.672,-1.328,0,0
0.033099,8.5208e-16,0,1,0.675,-1.325,0,0
0.03325,8.5859e-16,0,1,0.678,-1.322,0,0
0.033401,8.6509e-16,0,1,0.681,-1.319,0,0
0.033552,8.7159e-16,0,1,0.684,-1.316,0,0
0.033703,8.781e-16,0,1,0.687,-1.313,0,0
