"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0089032,-3.721e-17,0,1,0.288,-1.712,0,0
-0.009002,-3.8019e-17,0,1,0.291,-1.709,0,0
-0.0091008,-3.8828e-17,0,1,0.294,-1.706,0,0
-0.0091995,-3.9637e-17,0,1,0.297,-1.703,0,0
-0.0092983,-4.0446e-17,0,1,0.3,-1.7,0,0
-0.0093971,-4.1254e-17,0,1,0.303,-1.697,0,0
-0.0094958,-4.2063e-17,0,1,0.306,-1.694,0,0
-0.0095946,-4.2872e-17,0,1,0.309,-1.691,0,0
-0.0096934,-4.3681e-17,0,1,0.312,-1.688,0,0
-0.0097922,-4.449e-17,0,1,0.315,-1.685,0,0
-0.0098909,-4.5298e-17,0,1,0.318,-1.682,0,0
-0.0099897,-4.6107e-17,0,1,0.321,-1.679,0,0
-0.010088,-4.6916e-17,0,1,0.324,-1.676,0,0
-0.010187,-4.7725e-17,0,1,0.327,-1.673,0,0
-0.010287,-4.8616e-17,0,1,0.33,-1.67,0,0
-0.010387,-4.9556e-17,0,1,0.333,-1.667,0,0
-0.010487,-5.0496e-17,0,1,0.336,-1.664,0,0
-0.010587,-5.1437e-17,0,1,0.339,-1.661,0,0
-0.010687,-5.2377e-17,0,1,0.342,-1.658,0,0
-0.010787,-5.3318e-17,0,1,0.345,-1.655,0,0
-0.010887,-5.4258e-17,0,1,0.348,-1.652,0,0
-0.010988,-5.5198e-17,0,1,0.351,-1.649,0,0
-0.011088,-5.6139e-17,0,1,0.354,-1.646,0,0
-0.011188,-5.7079e-17,0,1,0.357,-1.643,0,0
-0.011288,-5.8019e-17,0,1,0.36,-1.64,0,0
-0.011388,-5.896e-17,0,1,0.363,-1.637,0,0
-0.011488,-5.99e-17,0,1,0.366,-1.634,0,0
-0.011588,-6.084e-17,0,1,0.369,-1.631,0,0
-0.011688,-6.1781e-17,0,1,0.372,-1.628,0,0
-0.011788,-6.2721e-17,0,1,0.375,-1.625,0,0
-0.011889,-6.3679e-17,0,1,0.378,-1.622,0,0
-0.01199,-6.4636e-17,0,1,0.381,-1.619,0,0
-0.012091,-6.5594e-17,0,1,0.384,-1.616,0,0
-0.012191,-6.6551e-17,0,1,0.387,-1.613,0,0
-0.012292,-6.7509e-17,0,1,0.39,-1.61,0,0
-0.012393,-6.8467e-17,0,1,0.393,-1.607,0,0
-0.012494,-6.9424e-17,0,1,0.396,-1.604,0,0
-0.012594,-7.0382e-17,0,1,0.399,-1.601,0,0
-0.012695,-7.1339e-17,0,1,0.402,-1.598,0,0
-0.012796,-7.2297e-17,0,1,0.405,-1.595,0,0
-0.012896,-7.3254e-17,0,1,0.408,-1.592,0,0
-0.012997,-7.4212e-17,0,1,0.411,-1.589,0,0
-0.013098,-7.5169e-17,0,1,0.414,-1.586,0,0
-0.013199,-7.6127e-17,0,1,0.417,-1.583,0,0
-0.013299,-7.7085e-17,0,1,0.42,-1.58,0,0
-0.0134,-7.8009e-17,0,1,0.423,-1.577,0,0
-0.013501,-7.8876e-17,0,1,0.426,-1.574,0,0
-0.013601,-7.9744e-17,0,1,0.429,-1.571,0,0
-0.013702,-8.0612e-17,0,1,0.432,-1.568,0,0
-0.013803,-8.148e-17,0,1,0.435,-1.565,0,0
-0.013903,-8.2347e-17,0,1,0.438,-1.562,0,0
-0.014004,-8.3215e-17,0,1,0.441,-1.559,0,0
-0.014105,-8.4083e-17,0,1,0.444,-1.556,0,0
-0.014205,-8.4951e-17,0,1,0.447,-1.553,0,0
-0.014306,-8.5819e-17,0,1,0.45,-1.55,0,0
-0.014407,-8.6686e-17,0,1,0.453,-1.547,0,0
-0.014507,-8.7554e-17,0,1,0.456,-1.544,0,0
-0.014608,-8.8422e-17,0,1,0.459,-1.541,0,0
-0.014709,-8.929e-17,0,1,0.462,-1.538,0,0
-0.014809,-9.0158e-17,0,1,0.465,-1.535,0,0
-0.01491,-9.1025e-17,0,1,0.468,-1.532,0,0
-0.015011,-9.1824e-17,0,1,0.471,-1.529,0,0
-0.015111,-9.26e-17,0,1,0.474,-1.526,0,0
-0.015212,-9.3376e-17,0,1,0.477,-1.523,0,0
-0.015313,-9.4152e-17,0,1,0.48,-1.52,0,0
-0.015413,-9.4928e-17,0,1,0.483,-1.517,0,0
-0.015514,-9.5704e-17,0,1,0.486,-1.514,0,0
-0.015614,-9.648e-17,0,1,0.489,-1.511,0,0
-0.015715,-9.7256e-17,0,1,0.492,-1.508,0,0
-0.015816,-9.8032e-17,0,1,0.495,-1.505,0,0
-0.015916,-9.8808e-17,0,1,0.498,-1.502,0,0
-0.016017,-9.9584e-17,0,1,0.501,-1.499,0,0
-0.016117,-1.0036e-16,0,1,0.504,-1.496,0,0
-0.016218,-1.0114e-16,0,1,0.507,-1.493,0,0
-0.016319,-1.0191e-16,0,1,0.51,-1.49,0,0
-0.016419,-1.0269e-16,0,1,0.513,-1.487,0,0
-0.01652,-1.0345e-16,0,1,0.516,-1.484,0,0
-0.01662,-1.0413e-16,0,1,0.519,-1.481,0,0
-0.016721,-1.0482e-16,0,1,0.522,-1.478,0,0
-0.016821,-1.055e-16,0,1,0.525,-1.475,0,0
-0.016922,-1.0618e-16,0,1,0.528,-1.472,0,0
-0.017022,-1.0686e-16,0,1,0.531,-1.469,0,0
-0.017123,-1.0755e-16,0,1,0.534,-1.466,0,0
-0.017223,-1.0823e-16,0,1,0.537,-1.463,0,0
-0.017324,-1.0891e-16,0,1,0.54,-1.46,0,0
-0.017425,-1.0959e-16,0,1,0.543,-1.457,0,0
-0.017525,-1.1028e-16,0,1,0.546,-1.454,0,0
-0.017626,-1.1096e-16,0,1,0.549,-1.451,0,0
-0.017726,-1.1164e-16,0,1,0.552,-1.448,0,0
-0.017827,-1.1232e-16,0,1,0.555,-1.445,0,0
-0.017927,-1.1301e-16,0,1,0.558,-1.442,0,0
-0.018028,-1.1369e-16,0,1,0.561,-1.439,0,0
-0.018128,-1.1446e-16,0,1,0.564,-1.436,0,0
-0.018227,-1.1532e-16,0,1,0.567,-1.433,0,0
-0.018327,-1.1618e-16,0,1,0.57,-1.43,0,0
-0.018426,-1.1704e-16,0,1,0.573,-1.427,0,0
-0.018525,-1.179e-16,0,1,0.576,-1.424,0,0
-0.018625,-1.1876e-16,0,1,0.579,-1.421,0,0
-0.018724,-1.1962e-16,0,1,0.582,-1.418,0,0
-0.018824,-1.2048e-16,0,1,0.585,-1.415,0,0
-0.018923,-1.2134e-16,0,1,0.588,-1.412,0,0
-0.019023,-1.222e-16,0,1,0.591,-1.409,0,0
-0.019122,-1.2306e-16,0,1,0.594,-1.406,0,0
-0.019221,-1.2392e-16,0,1,0.597,-1.403,0,0
