2.40E-01	9.90E-01	7.40E+00	6.20E+01	5.10E+02
2.50E-01	1.10E+00	8.80E+00	7.60E+01	6.90E+02
2.70E-01	1.30E+00	1.10E+01	9.30E+01	8.20E+02
3.00E-01	1.60E+00	1.20E+01	1.10E+02	9.90E+02
3.40E-01	1.80E+00	1.50E+01	1.30E+02	1.20E+03
3.80E-01	2.10E+00	1.70E+01	1.60E+02	1.40E+03
4.20E-01	2.40E+00	2.00E+01	1.90E+02	1.60E+03
4.70E-01	2.70E+00	2.30E+01	2.00E+02	1.80E+03
5.50E-01	3.20E+00	2.70E+01	2.30E+02	2.00E+03
6.30E-01	3.70E+00	3.00E+01	2.70E+02	2.10E+03
