degree,nbel,time
1,8,0.0002918243408203125
1,16,0.0008115768432617188
1,32,0.011214494705200195
1,64,0.09707784652709961
2,8,0.0004696846008300781
2,16,0.0017664432525634766
2,32,0.011278867721557617
2,64,0.09910058975219727
3,8,0.0005657672882080078
3,16,0.002083301544189453
3,32,0.03767848014831543
3,64,0.1021571159362793
4,8,0.0006577968597412109
4,16,0.0024385452270507812
4,32,0.013610601425170898
4,64,0.10808539390563965
